activity_id,week,location_id,co_share_group
A020,13,PLAT:ALP:H02:WB,b1
A020,14,PLAT:ALP:H02:WB,b1
A056,19,PLAT:ALP:H02:WB,b1
A056,20,PLAT:ALP:H02:WB,b1
A025,8,PLAT:ALP:S01:EB,b1
A025,11,PLAT:ALP:S01:EB,b1
A025,12,PLAT:ALP:S01:EB,b1
A025,13,PLAT:ALP:S01:EB,b1
A025,14,PLAT:ALP:S01:EB,b1
A025,15,PLAT:ALP:S01:EB,b1
A025,16,PLAT:ALP:S01:EB,b1
A025,8,PLAT:ALP:S02:EB,b1
A025,11,PLAT:ALP:S02:EB,b1
A025,12,PLAT:ALP:S02:EB,b1
A025,13,PLAT:ALP:S02:EB,b1
A025,14,PLAT:ALP:S02:EB,b1
A025,15,PLAT:ALP:S02:EB,b1
A025,16,PLAT:ALP:S02:EB,b1
A035,1,PLAT:ALP:S02:WB,b1
A035,2,PLAT:ALP:S02:WB,b1
A035,3,PLAT:ALP:S02:WB,b1
A066,27,PLAT:ALP:S02:WB,b1
A025,8,PLAT:ALP:S03:EB,b1
A028,9,PLAT:ALP:S03:EB,b1
A028,10,PLAT:ALP:S03:EB,b1
A025,11,PLAT:ALP:S03:EB,b1
A025,12,PLAT:ALP:S03:EB,b1
A025,13,PLAT:ALP:S03:EB,b1
A025,14,PLAT:ALP:S03:EB,b1
A025,15,PLAT:ALP:S03:EB,b1
A004,16,PLAT:ALP:S03:EB,b1
A025,16,PLAT:ALP:S03:EB,b1
A004,17,PLAT:ALP:S03:EB,b1
A004,18,PLAT:ALP:S03:EB,b1
A035,1,PLAT:ALP:S03:WB,b1
A035,2,PLAT:ALP:S03:WB,b1
A058,2,PLAT:ALP:S03:WB,b1
A006,3,PLAT:ALP:S03:WB,b1
A035,3,PLAT:ALP:S03:WB,b1
A058,3,PLAT:ALP:S03:WB,b1
A006,4,PLAT:ALP:S03:WB,b1
A058,4,PLAT:ALP:S03:WB,b1
A058,5,PLAT:ALP:S03:WB,b1
A058,6,PLAT:ALP:S03:WB,b1
A058,7,PLAT:ALP:S03:WB,b1
A058,8,PLAT:ALP:S03:WB,b1
A069,11,PLAT:ALP:S03:WB,b1
A070,11,PLAT:ALP:S03:WB,b1
A069,12,PLAT:ALP:S03:WB,b1
A070,12,PLAT:ALP:S03:WB,b1
A070,16,PLAT:ALP:S03:WB,b1
A050,17,PLAT:ALP:S03:WB,b1
A070,17,PLAT:ALP:S03:WB,b1
A050,18,PLAT:ALP:S03:WB,b1
A070,18,PLAT:ALP:S03:WB,b1
A023,22,PLAT:ALP:S03:WB,b1
A023,23,PLAT:ALP:S03:WB,b1
A023,24,PLAT:ALP:S03:WB,b1
A023,25,PLAT:ALP:S03:WB,b1
A023,26,PLAT:ALP:S03:WB,b1
A023,27,PLAT:ALP:S03:WB,b1
A066,27,PLAT:ALP:S03:WB,b1
A023,28,PLAT:ALP:S03:WB,b1
A028,9,PLAT:ALP:S04:EB,b1
A028,10,PLAT:ALP:S04:EB,b1
A004,16,PLAT:ALP:S04:EB,b1
A004,17,PLAT:ALP:S04:EB,b1
A054,17,PLAT:ALP:S04:EB,b1
A004,18,PLAT:ALP:S04:EB,b1
A054,18,PLAT:ALP:S04:EB,b1
A072,23,PLAT:ALP:S04:EB,b1
A035,1,PLAT:ALP:S04:WB,b1
A035,2,PLAT:ALP:S04:WB,b1
A058,2,PLAT:ALP:S04:WB,b1
A006,3,PLAT:ALP:S04:WB,b1
A035,3,PLAT:ALP:S04:WB,b1
A058,3,PLAT:ALP:S04:WB,b1
A006,4,PLAT:ALP:S04:WB,b1
A058,4,PLAT:ALP:S04:WB,b1
A058,5,PLAT:ALP:S04:WB,b1
A058,6,PLAT:ALP:S04:WB,b1
A058,7,PLAT:ALP:S04:WB,b1
A058,8,PLAT:ALP:S04:WB,b1
A069,11,PLAT:ALP:S04:WB,b1
A070,11,PLAT:ALP:S04:WB,b1
A069,12,PLAT:ALP:S04:WB,b1
A070,12,PLAT:ALP:S04:WB,b1
A020,13,PLAT:ALP:S04:WB,b1
A020,14,PLAT:ALP:S04:WB,b1
A070,16,PLAT:ALP:S04:WB,b1
A050,17,PLAT:ALP:S04:WB,b1
A070,17,PLAT:ALP:S04:WB,b1
A050,18,PLAT:ALP:S04:WB,b1
A070,18,PLAT:ALP:S04:WB,b1
A023,22,PLAT:ALP:S04:WB,b1
A023,23,PLAT:ALP:S04:WB,b1
A023,24,PLAT:ALP:S04:WB,b1
A023,25,PLAT:ALP:S04:WB,b1
A023,26,PLAT:ALP:S04:WB,b1
A023,27,PLAT:ALP:S04:WB,b1
A066,27,PLAT:ALP:S04:WB,b1
A023,28,PLAT:ALP:S04:WB,b1
A009,2,PLAT:ALP:S05:EB,b1
A009,3,PLAT:ALP:S05:EB,b1
A009,4,PLAT:ALP:S05:EB,b1
A009,5,PLAT:ALP:S05:EB,b1
A009,6,PLAT:ALP:S05:EB,b1
A009,7,PLAT:ALP:S05:EB,b1
A009,8,PLAT:ALP:S05:EB,b1
A047,13,PLAT:ALP:S05:EB,b1
A047,14,PLAT:ALP:S05:EB,b1
A054,17,PLAT:ALP:S05:EB,b1
A054,18,PLAT:ALP:S05:EB,b1
A046,9,PLAT:ALP:S05:WB,b1
A046,10,PLAT:ALP:S05:WB,b1
A020,13,PLAT:ALP:S05:WB,b1
A046,13,PLAT:ALP:S05:WB,b1
A020,14,PLAT:ALP:S05:WB,b1
A046,14,PLAT:ALP:S05:WB,b1
A046,15,PLAT:ALP:S05:WB,b1
A056,19,PLAT:ALP:S05:WB,b1
A056,20,PLAT:ALP:S05:WB,b1
A013,22,PLAT:ALP:S05:WB,b1
A013,23,PLAT:ALP:S05:WB,b1
A013,24,PLAT:ALP:S05:WB,b1
A013,25,PLAT:ALP:S05:WB,b1
A013,26,PLAT:ALP:S05:WB,b1
A009,2,PLAT:ALP:S06:EB,b1
A009,3,PLAT:ALP:S06:EB,b1
A009,4,PLAT:ALP:S06:EB,b1
A009,5,PLAT:ALP:S06:EB,b1
A009,6,PLAT:ALP:S06:EB,b1
A009,7,PLAT:ALP:S06:EB,b1
A009,8,PLAT:ALP:S06:EB,b1
A047,13,PLAT:ALP:S06:EB,b1
A047,14,PLAT:ALP:S06:EB,b1
A031,1,PLAT:ALP:S06:WB,b1
A031,2,PLAT:ALP:S06:WB,b1
A046,9,PLAT:ALP:S06:WB,b1
A046,10,PLAT:ALP:S06:WB,b1
A046,13,PLAT:ALP:S06:WB,b1
A046,14,PLAT:ALP:S06:WB,b1
A059,14,PLAT:ALP:S06:WB,b1
A046,15,PLAT:ALP:S06:WB,b1
A059,15,PLAT:ALP:S06:WB,b1
A059,16,PLAT:ALP:S06:WB,b1
A059,17,PLAT:ALP:S06:WB,b1
A059,18,PLAT:ALP:S06:WB,b1
A056,19,PLAT:ALP:S06:WB,b1
A059,19,PLAT:ALP:S06:WB,b1
A056,20,PLAT:ALP:S06:WB,b1
A059,20,PLAT:ALP:S06:WB,b1
A013,22,PLAT:ALP:S06:WB,b1
A013,23,PLAT:ALP:S06:WB,b1
A013,24,PLAT:ALP:S06:WB,b1
A013,25,PLAT:ALP:S06:WB,b1
A013,26,PLAT:ALP:S06:WB,b1
A014,15,PLAT:ALP:S07:EB,b1
A014,16,PLAT:ALP:S07:EB,b1
A014,17,PLAT:ALP:S07:EB,b1
A014,18,PLAT:ALP:S07:EB,b1
A014,19,PLAT:ALP:S07:EB,b1
A014,20,PLAT:ALP:S07:EB,b1
A014,21,PLAT:ALP:S07:EB,b1
A031,1,PLAT:ALP:S07:WB,b1
A031,2,PLAT:ALP:S07:WB,b1
A059,14,PLAT:ALP:S07:WB,b1
A059,15,PLAT:ALP:S07:WB,b1
A059,16,PLAT:ALP:S07:WB,b1
A059,17,PLAT:ALP:S07:WB,b1
A059,18,PLAT:ALP:S07:WB,b1
A056,19,PLAT:ALP:S07:WB,b1
A059,19,PLAT:ALP:S07:WB,b1
A056,20,PLAT:ALP:S07:WB,b1
A059,20,PLAT:ALP:S07:WB,b1
A014,15,PLAT:ALP:S08:EB,b1
A014,16,PLAT:ALP:S08:EB,b1
A014,17,PLAT:ALP:S08:EB,b1
A014,18,PLAT:ALP:S08:EB,b1
A014,19,PLAT:ALP:S08:EB,b1
A014,20,PLAT:ALP:S08:EB,b1
A014,21,PLAT:ALP:S08:EB,b1
A031,1,PLAT:ALP:S08:WB,b1
A031,2,PLAT:ALP:S08:WB,b1
A059,14,PLAT:ALP:S08:WB,b1
A059,15,PLAT:ALP:S08:WB,b1
A059,16,PLAT:ALP:S08:WB,b1
A059,17,PLAT:ALP:S08:WB,b1
A059,18,PLAT:ALP:S08:WB,b1
A059,19,PLAT:ALP:S08:WB,b1
A059,20,PLAT:ALP:S08:WB,b1
A061,4,PLAT:BET:H01:EB,b1
A061,5,PLAT:BET:H01:EB,b1
A063,5,PLAT:BET:H01:EB,b1
A061,6,PLAT:BET:H01:EB,b1
A061,7,PLAT:BET:H01:EB,b1
A061,8,PLAT:BET:H01:EB,b1
A061,9,PLAT:BET:H01:EB,b1
A061,10,PLAT:BET:H01:EB,b1
A003,11,PLAT:BET:H01:EB,b1
A003,12,PLAT:BET:H01:EB,b1
A003,13,PLAT:BET:H01:EB,b1
A040,13,PLAT:BET:H01:EB,b1
A003,14,PLAT:BET:H01:EB,b1
A040,14,PLAT:BET:H01:EB,b1
A003,15,PLAT:BET:H01:EB,b1
A007,15,PLAT:BET:H01:EB,b1
A040,15,PLAT:BET:H01:EB,b1
A007,16,PLAT:BET:H01:EB,b1
A055,16,PLAT:BET:H01:EB,b1
A007,17,PLAT:BET:H01:EB,b1
A017,17,PLAT:BET:H01:EB,b1
A007,18,PLAT:BET:H01:EB,b1
A017,18,PLAT:BET:H01:EB,b1
A040,18,PLAT:BET:H01:EB,b1
A007,19,PLAT:BET:H01:EB,b1
A017,19,PLAT:BET:H01:EB,b1
A040,19,PLAT:BET:H01:EB,b1
A007,20,PLAT:BET:H01:EB,b1
A017,20,PLAT:BET:H01:EB,b1
A040,20,PLAT:BET:H01:EB,b1
A007,22,PLAT:BET:H01:EB,b1
A017,22,PLAT:BET:H01:EB,b1
A036,22,PLAT:BET:H01:EB,b1
A040,22,PLAT:BET:H01:EB,b1
A036,23,PLAT:BET:H01:EB,b1
A073,23,PLAT:BET:H01:EB,b1
A017,24,PLAT:BET:H01:EB,b1
A036,24,PLAT:BET:H01:EB,b1
A017,25,PLAT:BET:H01:EB,b1
A036,25,PLAT:BET:H01:EB,b1
A036,26,PLAT:BET:H01:EB,b1
A036,27,PLAT:BET:H01:EB,b1
A036,28,PLAT:BET:H01:EB,b1
A012,2,PLAT:BET:H01:WB,b1
A012,6,PLAT:BET:H01:WB,b1
A012,7,PLAT:BET:H01:WB,b1
A012,8,PLAT:BET:H01:WB,b1
A012,9,PLAT:BET:H01:WB,b1
A012,10,PLAT:BET:H01:WB,b1
A012,11,PLAT:BET:H01:WB,b1
A075,29,PLAT:BET:H01:WB,b1
A061,4,PLAT:BET:H02:EB,b1
A061,5,PLAT:BET:H02:EB,b1
A063,5,PLAT:BET:H02:EB,b1
A061,6,PLAT:BET:H02:EB,b1
A061,7,PLAT:BET:H02:EB,b1
A061,8,PLAT:BET:H02:EB,b1
A061,9,PLAT:BET:H02:EB,b1
A061,10,PLAT:BET:H02:EB,b1
A003,11,PLAT:BET:H02:EB,b1
A003,12,PLAT:BET:H02:EB,b1
A003,13,PLAT:BET:H02:EB,b1
A040,13,PLAT:BET:H02:EB,b1
A043,13,PLAT:BET:H02:EB,b1
A060,13,PLAT:BET:H02:EB,b1
A003,14,PLAT:BET:H02:EB,b1
A040,14,PLAT:BET:H02:EB,b1
A043,14,PLAT:BET:H02:EB,b1
A060,14,PLAT:BET:H02:EB,b1
A003,15,PLAT:BET:H02:EB,b1
A007,15,PLAT:BET:H02:EB,b1
A040,15,PLAT:BET:H02:EB,b1
A060,15,PLAT:BET:H02:EB,b1
A007,16,PLAT:BET:H02:EB,b1
A055,16,PLAT:BET:H02:EB,b1
A007,17,PLAT:BET:H02:EB,b1
A017,17,PLAT:BET:H02:EB,b1
A057,17,PLAT:BET:H02:EB,b1
A007,18,PLAT:BET:H02:EB,b1
A017,18,PLAT:BET:H02:EB,b1
A040,18,PLAT:BET:H02:EB,b1
A057,18,PLAT:BET:H02:EB,b1
A007,19,PLAT:BET:H02:EB,b1
A017,19,PLAT:BET:H02:EB,b1
A040,19,PLAT:BET:H02:EB,b1
A057,19,PLAT:BET:H02:EB,b1
A007,20,PLAT:BET:H02:EB,b1
A017,20,PLAT:BET:H02:EB,b1
A040,20,PLAT:BET:H02:EB,b1
A057,20,PLAT:BET:H02:EB,b1
A007,22,PLAT:BET:H02:EB,b1
A017,22,PLAT:BET:H02:EB,b1
A040,22,PLAT:BET:H02:EB,b1
A057,22,PLAT:BET:H02:EB,b1
A073,23,PLAT:BET:H02:EB,b1
A057,24,PLAT:BET:H02:EB,b1
A017,24,PLAT:BET:H02:EB,b1
A057,25,PLAT:BET:H02:EB,b1
A017,25,PLAT:BET:H02:EB,b1
A012,2,PLAT:BET:H02:WB,b1
A012,6,PLAT:BET:H02:WB,b1
A012,7,PLAT:BET:H02:WB,b1
A012,8,PLAT:BET:H02:WB,b1
A049,8,PLAT:BET:H02:WB,b1
A012,9,PLAT:BET:H02:WB,b1
A049,9,PLAT:BET:H02:WB,b1
A012,10,PLAT:BET:H02:WB,b1
A049,10,PLAT:BET:H02:WB,b1
A012,11,PLAT:BET:H02:WB,b1
A049,11,PLAT:BET:H02:WB,b1
A049,12,PLAT:BET:H02:WB,b1
A075,29,PLAT:BET:H02:WB,b1
A002,1,PLAT:BET:S11:WB,b1
A021,3,PLAT:BET:S11:WB,b1
A021,4,PLAT:BET:S11:WB,b1
A021,5,PLAT:BET:S11:WB,b1
A039,12,PLAT:BET:S11:WB,b1
A039,13,PLAT:BET:S11:WB,b1
A039,14,PLAT:BET:S11:WB,b1
A039,15,PLAT:BET:S11:WB,b1
A039,16,PLAT:BET:S11:WB,b1
A039,17,PLAT:BET:S11:WB,b1
A039,18,PLAT:BET:S11:WB,b1
A002,1,PLAT:BET:S12:WB,b1
A021,3,PLAT:BET:S12:WB,b1
A021,4,PLAT:BET:S12:WB,b1
A021,5,PLAT:BET:S12:WB,b1
A039,12,PLAT:BET:S12:WB,b1
A039,13,PLAT:BET:S12:WB,b1
A039,14,PLAT:BET:S12:WB,b1
A039,15,PLAT:BET:S12:WB,b1
A039,16,PLAT:BET:S12:WB,b1
A039,17,PLAT:BET:S12:WB,b1
A039,18,PLAT:BET:S12:WB,b1
A065,19,PLAT:BET:S12:WB,b1
A048,1,PLAT:BET:S13:EB,b1
A048,2,PLAT:BET:S13:EB,b1
A048,3,PLAT:BET:S13:EB,b1
A055,16,PLAT:BET:S13:EB,b1
A002,1,PLAT:BET:S13:WB,b1
A021,3,PLAT:BET:S13:WB,b1
A021,4,PLAT:BET:S13:WB,b1
A021,5,PLAT:BET:S13:WB,b1
A039,12,PLAT:BET:S13:WB,b1
A039,13,PLAT:BET:S13:WB,b1
A039,14,PLAT:BET:S13:WB,b1
A039,15,PLAT:BET:S13:WB,b1
A039,16,PLAT:BET:S13:WB,b1
A039,17,PLAT:BET:S13:WB,b1
A039,18,PLAT:BET:S13:WB,b1
A065,19,PLAT:BET:S13:WB,b1
A048,1,PLAT:BET:S14:EB,b1
A048,2,PLAT:BET:S14:EB,b1
A048,3,PLAT:BET:S14:EB,b1
A063,5,PLAT:BET:S14:EB,b1
A055,16,PLAT:BET:S14:EB,b1
A036,22,PLAT:BET:S14:EB,b1
A036,23,PLAT:BET:S14:EB,b1
A036,24,PLAT:BET:S14:EB,b1
A036,25,PLAT:BET:S14:EB,b1
A036,26,PLAT:BET:S14:EB,b1
A036,27,PLAT:BET:S14:EB,b1
A036,28,PLAT:BET:S14:EB,b1
A039,12,PLAT:BET:S14:WB,b1
A039,13,PLAT:BET:S14:WB,b1
A039,14,PLAT:BET:S14:WB,b1
A039,15,PLAT:BET:S14:WB,b1
A039,16,PLAT:BET:S14:WB,b1
A039,17,PLAT:BET:S14:WB,b1
A039,18,PLAT:BET:S14:WB,b1
A061,4,PLAT:BET:S15:EB,b1
A061,5,PLAT:BET:S15:EB,b1
A061,6,PLAT:BET:S15:EB,b1
A061,7,PLAT:BET:S15:EB,b1
A037,8,PLAT:BET:S15:EB,b1
A061,8,PLAT:BET:S15:EB,b1
A037,9,PLAT:BET:S15:EB,b1
A061,9,PLAT:BET:S15:EB,b1
A061,10,PLAT:BET:S15:EB,b1
A003,11,PLAT:BET:S15:EB,b1
A041,11,PLAT:BET:S15:EB,b1
A003,12,PLAT:BET:S15:EB,b1
A041,12,PLAT:BET:S15:EB,b1
A003,13,PLAT:BET:S15:EB,b1
A040,13,PLAT:BET:S15:EB,b1
A043,13,PLAT:BET:S15:EB,b1
A060,13,PLAT:BET:S15:EB,b1
A003,14,PLAT:BET:S15:EB,b1
A040,14,PLAT:BET:S15:EB,b1
A043,14,PLAT:BET:S15:EB,b1
A060,14,PLAT:BET:S15:EB,b1
A003,15,PLAT:BET:S15:EB,b1
A040,15,PLAT:BET:S15:EB,b1
A060,15,PLAT:BET:S15:EB,b1
A057,17,PLAT:BET:S15:EB,b1
A017,17,PLAT:BET:S15:EB,b1
A017,18,PLAT:BET:S15:EB,b1
A040,18,PLAT:BET:S15:EB,b1
A057,18,PLAT:BET:S15:EB,b1
A017,19,PLAT:BET:S15:EB,b1
A040,19,PLAT:BET:S15:EB,b1
A057,19,PLAT:BET:S15:EB,b1
A017,20,PLAT:BET:S15:EB,b1
A040,20,PLAT:BET:S15:EB,b1
A057,20,PLAT:BET:S15:EB,b1
A017,22,PLAT:BET:S15:EB,b1
A040,22,PLAT:BET:S15:EB,b1
A057,22,PLAT:BET:S15:EB,b1
A001,23,PLAT:BET:S15:EB,b1
A042,23,PLAT:BET:S15:EB,b1
A071,23,PLAT:BET:S15:EB,b1
A073,23,PLAT:BET:S15:EB,b1
A001,24,PLAT:BET:S15:EB,b1
A011,24,PLAT:BET:S15:EB,b1
A017,24,PLAT:BET:S15:EB,b1
A057,24,PLAT:BET:S15:EB,b1
A011,25,PLAT:BET:S15:EB,b1
A017,25,PLAT:BET:S15:EB,b1
A042,25,PLAT:BET:S15:EB,b1
A057,25,PLAT:BET:S15:EB,b1
A042,26,PLAT:BET:S15:EB,b1
A012,2,PLAT:BET:S15:WB,b1
A012,6,PLAT:BET:S15:WB,b1
A012,7,PLAT:BET:S15:WB,b1
A012,8,PLAT:BET:S15:WB,b1
A049,8,PLAT:BET:S15:WB,b1
A012,9,PLAT:BET:S15:WB,b1
A049,9,PLAT:BET:S15:WB,b1
A012,10,PLAT:BET:S15:WB,b1
A049,10,PLAT:BET:S15:WB,b1
A012,11,PLAT:BET:S15:WB,b1
A049,11,PLAT:BET:S15:WB,b1
A049,12,PLAT:BET:S15:WB,b1
A064,16,PLAT:BET:S15:WB,b1
A037,8,PLAT:BET:S16:EB,b1
A037,9,PLAT:BET:S16:EB,b1
A003,11,PLAT:BET:S16:EB,b1
A019,11,PLAT:BET:S16:EB,b1
A041,11,PLAT:BET:S16:EB,b1
A003,12,PLAT:BET:S16:EB,b1
A019,12,PLAT:BET:S16:EB,b1
A041,12,PLAT:BET:S16:EB,b1
A003,13,PLAT:BET:S16:EB,b1
A040,13,PLAT:BET:S16:EB,b1
A043,13,PLAT:BET:S16:EB,b1
A060,13,PLAT:BET:S16:EB,b1
A003,14,PLAT:BET:S16:EB,b1
A040,14,PLAT:BET:S16:EB,b1
A043,14,PLAT:BET:S16:EB,b1
A060,14,PLAT:BET:S16:EB,b1
A003,15,PLAT:BET:S16:EB,b1
A040,15,PLAT:BET:S16:EB,b1
A060,15,PLAT:BET:S16:EB,b1
A057,17,PLAT:BET:S16:EB,b1
A017,17,PLAT:BET:S16:EB,b1
A017,18,PLAT:BET:S16:EB,b1
A040,18,PLAT:BET:S16:EB,b1
A057,18,PLAT:BET:S16:EB,b1
A017,19,PLAT:BET:S16:EB,b1
A040,19,PLAT:BET:S16:EB,b1
A057,19,PLAT:BET:S16:EB,b1
A017,20,PLAT:BET:S16:EB,b1
A040,20,PLAT:BET:S16:EB,b1
A057,20,PLAT:BET:S16:EB,b1
A017,22,PLAT:BET:S16:EB,b1
A040,22,PLAT:BET:S16:EB,b1
A057,22,PLAT:BET:S16:EB,b1
A001,23,PLAT:BET:S16:EB,b1
A042,23,PLAT:BET:S16:EB,b1
A071,23,PLAT:BET:S16:EB,b1
A001,24,PLAT:BET:S16:EB,b1
A011,24,PLAT:BET:S16:EB,b1
A017,24,PLAT:BET:S16:EB,b1
A057,24,PLAT:BET:S16:EB,b1
A011,25,PLAT:BET:S16:EB,b1
A017,25,PLAT:BET:S16:EB,b1
A042,25,PLAT:BET:S16:EB,b1
A057,25,PLAT:BET:S16:EB,b1
A042,26,PLAT:BET:S16:EB,b1
A049,8,PLAT:BET:S16:WB,b1
A049,9,PLAT:BET:S16:WB,b1
A049,10,PLAT:BET:S16:WB,b1
A049,11,PLAT:BET:S16:WB,b1
A049,12,PLAT:BET:S16:WB,b1
A064,16,PLAT:BET:S16:WB,b1
A037,8,PLAT:BET:S17:EB,b1
A037,9,PLAT:BET:S17:EB,b1
A038,10,PLAT:BET:S17:EB,b1
A019,11,PLAT:BET:S17:EB,b1
A019,12,PLAT:BET:S17:EB,b1
A043,13,PLAT:BET:S17:EB,b1
A043,14,PLAT:BET:S17:EB,b1
A008,16,PLAT:BET:S17:EB,b1
A038,16,PLAT:BET:S17:EB,b1
A038,17,PLAT:BET:S17:EB,b1
A008,21,PLAT:BET:S17:EB,b1
A001,23,PLAT:BET:S17:EB,b1
A008,23,PLAT:BET:S17:EB,b1
A042,23,PLAT:BET:S17:EB,b1
A071,23,PLAT:BET:S17:EB,b1
A001,24,PLAT:BET:S17:EB,b1
A011,24,PLAT:BET:S17:EB,b1
A011,25,PLAT:BET:S17:EB,b1
A042,25,PLAT:BET:S17:EB,b1
A008,26,PLAT:BET:S17:EB,b1
A042,26,PLAT:BET:S17:EB,b1
A008,27,PLAT:BET:S17:EB,b1
A051,26,PLAT:BET:S17:WB,b1
A051,27,PLAT:BET:S17:WB,b1
A038,10,PLAT:BET:S18:EB,b1
A008,16,PLAT:BET:S18:EB,b1
A038,16,PLAT:BET:S18:EB,b1
A038,17,PLAT:BET:S18:EB,b1
A008,21,PLAT:BET:S18:EB,b1
A008,23,PLAT:BET:S18:EB,b1
A042,23,PLAT:BET:S18:EB,b1
A042,25,PLAT:BET:S18:EB,b1
A008,26,PLAT:BET:S18:EB,b1
A042,26,PLAT:BET:S18:EB,b1
A008,27,PLAT:BET:S18:EB,b1
A051,26,PLAT:BET:S18:WB,b1
A051,27,PLAT:BET:S18:WB,b1
A054,17,SEC:ALP:H01_H02:EB,b1
A054,18,SEC:ALP:H01_H02:EB,b1
A074,21,SEC:ALP:H01_H02:EB,b1
A072,23,SEC:ALP:H01_H02:EB,b1
A058,2,SEC:ALP:H01_H02:WB,b1
A006,3,SEC:ALP:H01_H02:WB,b1
A058,3,SEC:ALP:H01_H02:WB,b1
A006,4,SEC:ALP:H01_H02:WB,b1
A058,4,SEC:ALP:H01_H02:WB,b1
A058,5,SEC:ALP:H01_H02:WB,b1
A058,6,SEC:ALP:H01_H02:WB,b1
A058,7,SEC:ALP:H01_H02:WB,b1
A058,8,SEC:ALP:H01_H02:WB,b1
A069,11,SEC:ALP:H01_H02:WB,b1
A069,12,SEC:ALP:H01_H02:WB,b1
A020,13,SEC:ALP:H01_H02:WB,b1
A020,14,SEC:ALP:H01_H02:WB,b1
A047,13,SEC:ALP:H02_S05:EB,b1
A047,14,SEC:ALP:H02_S05:EB,b1
A054,17,SEC:ALP:H02_S05:EB,b1
A054,18,SEC:ALP:H02_S05:EB,b1
A020,13,SEC:ALP:H02_S05:WB,b1
A020,14,SEC:ALP:H02_S05:WB,b1
A056,19,SEC:ALP:H02_S05:WB,b1
A056,20,SEC:ALP:H02_S05:WB,b1
A025,8,SEC:ALP:S01_S02:EB,b1
A025,11,SEC:ALP:S01_S02:EB,b1
A025,12,SEC:ALP:S01_S02:EB,b1
A025,13,SEC:ALP:S01_S02:EB,b1
A025,14,SEC:ALP:S01_S02:EB,b1
A025,15,SEC:ALP:S01_S02:EB,b1
A025,16,SEC:ALP:S01_S02:EB,b1
A025,8,SEC:ALP:S02_S03:EB,b1
A025,11,SEC:ALP:S02_S03:EB,b1
A025,12,SEC:ALP:S02_S03:EB,b1
A025,13,SEC:ALP:S02_S03:EB,b1
A025,14,SEC:ALP:S02_S03:EB,b1
A025,15,SEC:ALP:S02_S03:EB,b1
A025,16,SEC:ALP:S02_S03:EB,b1
A035,1,SEC:ALP:S02_S03:WB,b1
A035,2,SEC:ALP:S02_S03:WB,b1
A035,3,SEC:ALP:S02_S03:WB,b1
A066,27,SEC:ALP:S02_S03:WB,b1
A028,9,SEC:ALP:S03_S04:EB,b1
A028,10,SEC:ALP:S03_S04:EB,b1
A004,16,SEC:ALP:S03_S04:EB,b1
A004,17,SEC:ALP:S03_S04:EB,b1
A004,18,SEC:ALP:S03_S04:EB,b1
A035,1,SEC:ALP:S03_S04:WB,b1
A035,2,SEC:ALP:S03_S04:WB,b1
A058,2,SEC:ALP:S03_S04:WB,b1
A006,3,SEC:ALP:S03_S04:WB,b1
A035,3,SEC:ALP:S03_S04:WB,b1
A058,3,SEC:ALP:S03_S04:WB,b1
A006,4,SEC:ALP:S03_S04:WB,b1
A058,4,SEC:ALP:S03_S04:WB,b1
